nazwa leku,identyfikator_leku,zakres_wskazan,zakres_wskazan_pozarejestracyjnych,poziom_odplatnosci,wysokosc_doplaty_swiadczeniobiorcy,id_leku
Elocta,05909991246518,Znajduje się w załącznikach: B.15.,,bezpłatny,0,1570
Elonva,05909997077482,Kontrolowana hiperstymulacja jajników w skojarzeniu z antagonistą GnRH u pacjentek w wieku poniżej 40 roku życia w celu uzyskania rozwoju mnogich pęcherzyków; rokujących uzyskanie prawidłowej odpowiedzi na stymulację jajeczkowania (hormon folikulotropowy - FSH poniżej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymüllerowski - AMH powyżej 0;7 ng/ml (wg II standardu)); u których nie stwierdza się wcześniejszych; niedostatecznych odpowiedzi na stymulację owulacji oraz bez nawracających poronień z tym samym partnerem – refundacja do 3 cykli,,ryczałt,3.2,1571
Elonva,05909997077499,Kontrolowana hiperstymulacja jajników w skojarzeniu z antagonistą GnRH u pacjentek w wieku poniżej 40 roku życia w celu uzyskania rozwoju mnogich pęcherzyków; rokujących uzyskanie prawidłowej odpowiedzi na stymulację jajeczkowania (hormon folikulotropowy - FSH poniżej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymüllerowski - AMH powyżej 0;7 ng/ml (wg II standardu)); u których nie stwierdza się wcześniejszych; niedostatecznych odpowiedzi na stymulację owulacji oraz bez nawracających poronień z tym samym partnerem – refundacja do 3 cykli,,ryczałt,3.2,1572
Emanera,05909990926497,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,4.42,1573
Emanera,05909990926534,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,8.46,1574
Emanera,05909991074975,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,8.46,1575
Emanera,05909991074999,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,16.01,1576
Emend,05909990007387,Wczesne albo opóźnione wymioty u osób dorosłych związane z silnie emetogenną chemioterapią z zastosowaniem cisplatyny w dawce >70 mg/m2 – profilaktyka,,ryczałt,3.2,1577
Emend,05909990007387,Znajduje się w załącznikach: C.0.12.,,bezpłatny,0,1577
Enarenal,05909990014934,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,niewydolność serca inna niż określona w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,ryczałt,3.88,1578
Enarenal,05909990014934,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1578
Enarenal,05909990014958,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,niewydolność serca inna niż określona w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,ryczałt,5.13,1579
Enarenal,05909990014958,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1579
Enarenal,05909990015030,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,niewydolność serca inna niż określona w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,ryczałt,4.02,1580
Enarenal,05909990015030,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1580
Enarenal,05909990015054,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,niewydolność serca inna niż określona w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,ryczałt,7.59,1581
Enarenal,05909990015054,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1581
Enarenal,05909990020829,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,niewydolność serca inna niż określona w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,ryczałt,12.8,1582
Enarenal,05909990020829,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1582
Enarenal,05909990020836,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,niewydolność serca inna niż określona w ChPL - u dzieci do 18 roku życia; przewlekła choroba nerek u dzieci do 18 roku życia; leczenie renoprotekcyjne u dzieci do 18 roku życia,ryczałt,7.07,1583
Enarenal,05909990020836,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1583
Enbrel,05909990618255,Znajduje się w załącznikach: B.33.; B.35.; B.36.; B.47.; B.82.,,bezpłatny,0,1584
Enbrel,05909990712755,Znajduje się w załącznikach: B.33.; B.35.; B.36.; B.47.; B.82.,,bezpłatny,0,1585
Enbrel,05909990777938,Znajduje się w załącznikach: B.33.; B.35.; B.36.; B.47.; B.82.,,bezpłatny,0,1586
Enbrel,05909990880881,Znajduje się w załącznikach: B.33.,,bezpłatny,0,1587
Encortolon,05904374007946,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,autoimmunizacyjne zapalenie trzustki u dzieci do 18 roku życia; eozynofilowe zapalenie jelit u dzieci do 18 roku życia; stan po przeszczepie nerki u dzieci do 18 roku życia,ryczałt,7.14,1588
Encortolon,05904374007946,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1588
Encorton,05909990405312,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>eozynofilowe zapalenie jelit u dzieci do 18 roku życia; <2>miastenia; zespół miasteniczny; miopatia zapalna; neuropatia zapalna (z wyjątkiem zespołu Guillaina - Barrego); <3>obturacyjne choroby płuc - w przypadkach innych niż określone w ChPL; choroby autoimmunizacyjne - w przypadkach innych niż określone w ChPL; stan po przeszczepie narządu, kończyny, tkanek, komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku życia",ryczałt,11.7,1589
Encorton,05909990405312,Nowotwory złośliwe,,bezpłatny do limitu,8.5,1589
Encorton,05909990405312,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1589
Encorton,05909990405411,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>eozynofilowe zapalenie jelit u dzieci do 18 roku życia; <2>miastenia; zespół miasteniczny; miopatia zapalna; neuropatia zapalna (z wyjątkiem zespołu Guillaina - Barrego); <3>obturacyjne choroby płuc - w przypadkach innych niż określone w ChPL; choroby autoimmunizacyjne - w przypadkach innych niż określone w ChPL; stan po przeszczepie narządu, kończyny, tkanek, komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku życia",ryczałt,8.54,1590
Encorton,05909990405411,Nowotwory złośliwe,,bezpłatny do limitu,4.27,1590
Encorton,05909990405411,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1590
Encorton,05909990641185,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>eozynofilowe zapalenie jelit u dzieci do 18 roku życia; <2>miastenia; zespół miasteniczny; miopatia zapalna; neuropatia zapalna (z wyjątkiem zespołu Guillaina - Barrego); <3>obturacyjne choroby płuc - w przypadkach innych niż określone w ChPL; choroby autoimmunizacyjne - w przypadkach innych niż określone w ChPL; stan po przeszczepie narządu, kończyny, tkanek, komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku życia",ryczałt,9.37,1591
Encorton,05909990641185,Nowotwory złośliwe,,bezpłatny do limitu,6.17,1591
Encorton,05909990641185,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1591
Encorton,05909990641192,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>eozynofilowe zapalenie jelit u dzieci do 18 roku życia; <2>miastenia; zespół miasteniczny; miopatia zapalna; neuropatia zapalna (z wyjątkiem zespołu Guillaina - Barrego); <3>obturacyjne choroby płuc - w przypadkach innych niż określone w ChPL; choroby autoimmunizacyjne - w przypadkach innych niż określone w ChPL; stan po przeszczepie narządu, kończyny, tkanek, komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku życia",ryczałt,5.33,1592
Encorton,05909990641192,Nowotwory złośliwe,,bezpłatny do limitu,0,1592
Encorton,05909990641192,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1592
Encorton,05909991289416,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>eozynofilowe zapalenie jelit u dzieci do 18 roku życia; <2>miastenia; zespół miasteniczny; miopatia zapalna; neuropatia zapalna (z wyjątkiem zespołu Guillaina - Barrego); <3>obturacyjne choroby płuc - w przypadkach innych niż określone w ChPL; choroby autoimmunizacyjne - w przypadkach innych niż określone w ChPL; stan po przeszczepie narządu, kończyny, tkanek, komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku życia",ryczałt,8.2,1593
Encorton,05909991289416,Nowotwory złośliwe,,bezpłatny do limitu,7.02,1593
Encorton,05909991289416,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1593
Endofemine,05901797710804,Endometrioza,,ryczałt,5.58,1594
Endovelle,05909991398569,Endometrioza,,ryczałt,6.15,1595
Endovelle,05909991398576,Endometrioza,,ryczałt,10.01,1596
Endoxan,05909990240814,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,<1>choroby autoimmunizacyjne; amyloidoza; <2>zespół hemofagocytowy; zespół POEMS; małopłytkowość oporna na leczenie kortykosteroidami; anemia hemolityczna oporna na leczenie kortykosteroidami; <3>sarkoidoza; śródmiąższowe zapalenie płuc - w przypadkach innych niż określone w ChPL - z wyjątkiem idiopatycznego włóknienia płuc,ryczałt,3.2,1597
Endoxan,05909990240814,Nowotwory złośliwe,,bezpłatny do limitu,0,1597
Endoxan,05909990240814,Znajduje się w załącznikach: C.13.,,bezpłatny,0,1597
Endoxan,05909990240913,Znajduje się w załącznikach: C.13.,,bezpłatny,0,1599
Endoxan,05909990241019,Znajduje się w załącznikach: C.13.,,bezpłatny,0,1600
Enerzair Breezhaler,07613421044596,Podtrzymujące leczenie astmy u dorosłych pacjentów; u których nie uzyskano odpowiedniej kontroli choroby w wyniku podtrzymującego leczenia skojarzonego długo działającym beta2-mimetykiem i kortykosteroidem wziewnym podawanym w dużych dawkach; u których wystąpiło co najmniej jedno zaostrzenie astmy w poprzednim roku,,30%,58,1601
Enerzair Breezhaler,07613421044596,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1601
Enstilar,05909991283599,Leczenie miejscowe łuszczycy zwyczajnej u dorosłych,,30%,104.41,1602
Entecavir Accord,05055565742532,Znajduje się w załącznikach: B.1.; B.106.,,bezpłatny,0,1603
Entecavir Accord,05055565742549,Znajduje się w załącznikach: B.1.,,bezpłatny,0,1604
Entecavir Aurovitas,05909991363734,Znajduje się w załącznikach: B.1.; B.106.,,bezpłatny,0,1605
Entecavir Aurovitas,05909991363826,Znajduje się w załącznikach: B.1.,,bezpłatny,0,1606
Entecavir Polpharma,05909991337957,Znajduje się w załącznikach: B.1.; B.106.,,bezpłatny,0,1607
Entecavir Polpharma,05909991337971,Znajduje się w załącznikach: B.1.,,bezpłatny,0,1608
Entecavir Synoptis,05909991347451,Znajduje się w załącznikach: B.1.; B.106.,,bezpłatny,0,1609
Entecavir Synoptis,05909991347468,Znajduje się w załącznikach: B.1.,,bezpłatny,0,1610
Entecavir Zentiva,05909991369576,Znajduje się w załącznikach: B.1.; B.106.,,bezpłatny,0,1611
Entecavir Zentiva,05909991369590,Znajduje się w załącznikach: B.1.,,bezpłatny,0,1612
Entekavir Adamed ,05906414003123,Znajduje się w załącznikach: B.1.; B.106.,,bezpłatny,0,1613
Entekavir Adamed ,05906414003130,Znajduje się w załącznikach: B.1.,,bezpłatny,0,1614
Entocort,05909990430314,Choroba Leśniowskiego-Crohna,postać jelitowa choroby przeszczep przeciwko gospodarzowi,ryczałt,3.56,1615
Entyvio,05909991138202,Znajduje się w załącznikach: B.32.; B.55.,,bezpłatny,0,1616
Envarsus,05909991192709,Stan po przeszczepie narządu unaczynionego bądź szpiku,"<1>stan po przeszczepie kończyny, rogówki, tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespół nerczycowy - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę",ryczałt,3.74,1617
Envarsus,05909991192730,Stan po przeszczepie narządu unaczynionego bądź szpiku,"<1>stan po przeszczepie kończyny, rogówki, tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespół nerczycowy - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę",ryczałt,3.91,1618
Envarsus,05909991192754,Stan po przeszczepie narządu unaczynionego bądź szpiku,"<1>stan po przeszczepie kończyny, rogówki, tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespół nerczycowy - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę",ryczałt,3.52,1619
Envarsus,05909991192761,Stan po przeszczepie narządu unaczynionego bądź szpiku,"<1>stan po przeszczepie kończyny, rogówki, tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespół nerczycowy - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub oporności na cyklosporynę",ryczałt,3.66,1620
Epclusa,05391507142108,Znajduje się w załącznikach: B.71.,,bezpłatny,0,1621
Epirubicin - Ebewe,05909991104313,Znajduje się w załącznikach: C.23.,,bezpłatny,0,1622
Epirubicin - Ebewe,05909991104320,Znajduje się w załącznikach: C.23.,,bezpłatny,0,1623
Epirubicin - Ebewe,05909991104337,Znajduje się w załącznikach: C.23.,,bezpłatny,0,1624
Epirubicin - Ebewe,05909991104344,Znajduje się w załącznikach: C.23.,,bezpłatny,0,1625
Epirubicin Accord,05909990796373,Znajduje się w załącznikach: C.23.,,bezpłatny,0,1626
Epirubicin Accord,05909990796397,Znajduje się w załącznikach: C.23.,,bezpłatny,0,1627
Epirubicin Accord,05909991029869,Znajduje się w załącznikach: C.23.,,bezpłatny,0,1628
Epitoram,05909990649556,Padaczka oporna na leczenie,zespół Tourette'a,ryczałt,4.74,1629
Epitoram,05909990649570,Padaczka oporna na leczenie,zespół Tourette'a,ryczałt,5.36,1630
Epitoram,05909990649594,Padaczka oporna na leczenie,zespół Tourette'a,ryczałt,5.6,1631
Epitoram,05909990649617,Padaczka oporna na leczenie,zespół Tourette'a,ryczałt,4.63,1632
Epitrigine 100 mg tabletki,05909990334766,<1>Padaczka oporna na leczenie; <2>Choroba afektywna dwubiegunowa,<1>stan po epizodzie padaczkowym indukowanym przerzutami w obrębie ośrodkowego układu nerwowego - postępowanie wspomagające; <2>neuralgia lub neuropatia w obrębie twarzy,ryczałt,3.2,1633
Epitrigine 100 mg tabletki,05909990334766,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1633
Epitrigine 50 mg tabletki,05909990334759,<1>Padaczka oporna na leczenie; <2>Choroba afektywna dwubiegunowa,<1>stan po epizodzie padaczkowym indukowanym przerzutami w obrębie ośrodkowego układu nerwowego - postępowanie wspomagające; <2>neuralgia lub neuropatia w obrębie twarzy,ryczałt,3.2,1634
Epitrigine 50 mg tabletki,05909990334759,Przysługujące świadczeniobiorcom; o których mowa w art. 43b ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1634
Equoral,05909990946426,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>choroby autoimmunizacyjne inne niż określone w ChPL; zespół Alporta z białkomoczem u dzieci do 18 roku życia; anemia aplastyczna u dzieci do 18 roku życia; nieswoiste zapalenie jelit u dzieci do 18 roku życia; <2>aplazja lub hipoplazja szpiku kostnego; białaczka z dużych granularnych limfocytów T; wybiórcza aplazja układu czerwonokrwinkowego; zespół aktywacji makrofagów; zespół hemofagocytowy; małopłytkowość oporna na leczenie; zespół mielodysplastyczny - leczenie paliatywne; stan po przeszczepie kończyny, rogówki, tkanek lub komórek",ryczałt,3.38,1635
Equoral,05909990946525,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>choroby autoimmunizacyjne inne niż określone w ChPL; zespół Alporta z białkomoczem u dzieci do 18 roku życia; anemia aplastyczna u dzieci do 18 roku życia; nieswoiste zapalenie jelit u dzieci do 18 roku życia; <2>aplazja lub hipoplazja szpiku kostnego; białaczka z dużych granularnych limfocytów T; wybiórcza aplazja układu czerwonokrwinkowego; zespół aktywacji makrofagów; zespół hemofagocytowy; małopłytkowość oporna na leczenie; zespół mielodysplastyczny - leczenie paliatywne; stan po przeszczepie kończyny, rogówki, tkanek lub komórek",ryczałt,3.2,1636
Equoral,05909990946624,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>choroby autoimmunizacyjne inne niż określone w ChPL; zespół Alporta z białkomoczem u dzieci do 18 roku życia; anemia aplastyczna u dzieci do 18 roku życia; nieswoiste zapalenie jelit u dzieci do 18 roku życia; <2>aplazja lub hipoplazja szpiku kostnego; białaczka z dużych granularnych limfocytów T; wybiórcza aplazja układu czerwonokrwinkowego; zespół aktywacji makrofagów; zespół hemofagocytowy; małopłytkowość oporna na leczenie; zespół mielodysplastyczny - leczenie paliatywne; stan po przeszczepie kończyny, rogówki, tkanek lub komórek",ryczałt,3.41,1637
Equoral,05909990946716,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>choroby autoimmunizacyjne inne niż określone w ChPL; zespół Alporta z białkomoczem u dzieci do 18 roku życia; anemia aplastyczna u dzieci do 18 roku życia; nieswoiste zapalenie jelit u dzieci do 18 roku życia; <2>aplazja lub hipoplazja szpiku kostnego; białaczka z dużych granularnych limfocytów T; wybiórcza aplazja układu czerwonokrwinkowego; zespół aktywacji makrofagów; zespół hemofagocytowy; małopłytkowość oporna na leczenie; zespół mielodysplastyczny - leczenie paliatywne; stan po przeszczepie kończyny, rogówki, tkanek lub komórek",ryczałt,3.2,1638
Equoral,05909991460679,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,"<1>choroby autoimmunizacyjne inne niż określone w ChPL; zespół Alporta z białkomoczem u dzieci do 18 roku życia; anemia aplastyczna u dzieci do 18 roku życia; nieswoiste zapalenie jelit u dzieci do 18 roku życia; <2>aplazja lub hipoplazja szpiku kostnego; białaczka z dużych granularnych limfocytów T; wybiórcza aplazja układu czerwonokrwinkowego; zespół aktywacji makrofagów; zespół hemofagocytowy; małopłytkowość oporna na leczenie; zespół mielodysplastyczny - leczenie paliatywne; stan po przeszczepie kończyny, rogówki, tkanek lub komórek",ryczałt,3.2,1639
Erbitux,05909990035922,Znajduje się w załącznikach: B.4.; B.52.,,bezpłatny,0,1640
Erbitux,05909990035946,Znajduje się w załącznikach: B.4.; B.52.,,bezpłatny,0,1641
Erelzi,09002260025770,Znajduje się w załącznikach: B.33.; B.35.; B.36.; B.47.; B.82.,,bezpłatny,0,1642
Erelzi,09002260025787,Znajduje się w załącznikach: B.33.; B.35.; B.36.; B.47.; B.82.,,bezpłatny,0,1643
Erelzi,09002260025794,Znajduje się w załącznikach: B.33.; B.35.; B.36.; B.47.; B.82.,,bezpłatny,0,1644
Erfin,05909990621057,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,14.78,1645
Erfin,05909990621057,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1645
Erfin,05909990621064,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,27.24,1646
Erfin,05909990621064,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1646
Ergotaminum Filofarm,05909990211517,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,,50%,2.56,1647
Erivedge,05902768001020,Znajduje się w załącznikach: B.88.,,bezpłatny,0,1648
Erleada,05413868117059,Znajduje się w załącznikach: B.56.,,bezpłatny,0,1649
Erlotinib Krka,03838989722128,Znajduje się w załącznikach: C.81.,,bezpłatny,0,1650
Erlotinib Krka,03838989722135,Znajduje się w załącznikach: C.81.,,bezpłatny,0,1651
Erlotinib Zentiva,05909991417673,Znajduje się w załącznikach: C.81.,,bezpłatny,0,1652
Erlotinib Zentiva,05909991417680,Znajduje się w załącznikach: C.81.,,bezpłatny,0,1653
Erlotinib Zentiva,05909991417697,Znajduje się w załącznikach: C.81.,,bezpłatny,0,1654
Esbriet,05902768001181,Znajduje się w załącznikach: B.87.,,bezpłatny,0,1655
Esbriet,05902768001198,Znajduje się w załącznikach: B.87.,,bezpłatny,0,1656
Esbriet,05902768001211,Znajduje się w załącznikach: B.87.,,bezpłatny,0,1657
Esetin,05909991388669,Hipercholesterolemia LDL-C powyżej 130 mg/dl utrzymująca się pomimo terapii statynami w przypadku: stanu po zawale serca lub rewaskularyzacji wieńcowej (przezskórnej lub kardiochirurgicznej); stanu po rewaskularyzacji obwodowej lub amputacji obwodowej z powodu choroby miażdżycowej; hipercholesterolemii rodzinnej,,30%,13.2,1658
Esetin,05909991388669,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1658
Estrofem,05909990330713,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,F64.0 (wg ICD-10),30%,4.7,1659
Estrofem mite,05909990823215,We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji,F64.0 (wg ICD-10),30%,7.9,1660
Etadron,05909990798094,Nowotwory złośliwe; Rak piersi w II rzucie hormonoterapii,hormonozależny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (możliwe wcześniejsze stosowanie hormonoterapii uzupełniającej wczesnego raka piersi) w przypadkach innych niż w ChPL,bezpłatny do limitu,19.52,1661
Etform,05909991352400,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,5.25,1662
Etform,05909991352400,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1662
Etform,05909991352417,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,6.78,1663
Etform,05909991352417,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1663
Etform 500,05909990698141,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,6.06,1664
Etform 500,05909990698141,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1664
Etform 500,05909990698172,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,7.23,1665
Etform 500,05909990698172,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1665
Etform 850,05909990698257,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,5.17,1666
Etform 850,05909990698257,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1666
Etform 850,05909990698271,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,6.29,1667
Etform 850,05909990698271,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1667
Etform SR,07613421049256,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,5.77,1668
Etform SR,07613421049256,Przysługuje świadczeniobiorcom; o których mowa w art. 43a ust. 1 ustawy z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych (Dz.U. z 2021 r. poz. 1285; z późn. zm.),,,,1668
Etform SR,07613421049263,Cukrzyca,zespoły insulinooporności w przypadkach innych niż w przebiegu cukrzycy,ryczałt,8.26,1669
